judul,konten
"Xiaomi Rilis Mijia Smart Audio Glasses 2, Kacamata Pintar yang Ramping","KOMPAS.com - Xiaomi mengumumkan kacamata pintar terbaru, Mijia Smart Audio Glasses 2. Produk ini merupakan suksesor dari Mijia Smart Audio Glasses yang lebih dulu meluncur pada 25 Maret 2024. Mijia Smart Audio Glasses 2 diluncurkan lewat platform Xiaomi Youpin. Xiaomi Youpin adalah platform e-commerce yang menjual perangkat terpilih dan berteknologi tinggi buatan Xiaomi. Mijia Smart Audio Glasses 2 dijual dengan skema crowdfunding (penggalangan dana) di Xiaomi Youpin, mulai 26 Maret 2025. Selama periode pendanaan, Mijia Smart Audio Glasses 2 dibanderol dengan harga khusus 999 yuan atau sekitar Rp2,2 juta. Mijia Smart Audio Glasses 2 memiliki bobot ringan sekitar 27,6 gram dengan tebal gagang kacamata hanya 5mm. Dibanding model sebelumnya, ukuran ini berkurang 26 persen di bagian tersempit (dekat engsel bingkai yang terhubung ke lensa kacamata) dan 30 persen di bagian terlebar (area tengah menuju belakang bingkai). Hal ini membuat desain Mijia Smart Audio Glasses 2 lebih ramping dan nyaman digunakan dalam waktu lama. Mijia Smart Audio Glasses 2 menggunakan engsel ultra-fleksibel berbahan baja piano yang telah dikembangkan selama 12 bulan. Engsel ini disebut mampu bertahan hingga 15.000 kali lipatan tanpa mengurangi daya tahannya. Selain itu, Xiaomi melengkapi kacamata ini dengan mekanisme quick-release (pelepas cepat) berupa lensa generasi kedua. Dengan desain engsel yang 70 persen lebih kecil, memungkinkan pengguna untuk mengganti lensa hanya dengan satu tangan. Xiaomi menyediakan lima pilihan desain bingkai (frame), termasuk model berbahan logam dan titanium untuk menyesuaikan gaya pengguna. Adapun pilihan tersebut terdiri dari metal aviator, hybrid browline, classic Boston, hybrid aviator, dan deep-space titanium. Sebagaimana dirangkum KompasTekno dari Gizchina, Rabu (26/3/2025), Mijia Smart Audio Glasses 2 dilengkapi empat mikrofon internal di bagian bingkai (frame). Perangkat ini didukung teknologi peredam bising yang berfungsi mengurangi gangguan suara sekitar dan meningkatkan pengalaman audio, baik untuk telepon maupun musik. Xiaomi turut menghadirkan mode privasi yang menggunakan kombinasi gelombang suara terbalik dan membran anti-bocor guna mencegah kebocoran suara. Fitur ini dapat diaktifkan melalui aplikasi Mijia Glasses. Dengan struktur yang dioptimalkan, kacamata ini menawarkan suara yang lebih kaya dan detail, memastikan pengalaman audio yang lebih imersif bagi pengguna. Beberapa fitur lain yang disematkan pada kacamata pintar ini yaitu asisten suara, perekaman suara, dan berbagi audio instan secara real-time. Perangkat Mijia Smart Audio Glasses 2 juga sudah mengantongi sertifikasi IP54, yang menandakan perangkat ini tahan terhadap debu dan percikan air. Pada sektor daya tahan baterai, Mijia Smart Audio Glasses 2 menawarkan pemakaian hingga 12 jam untuk mendengarkan musik dan 9 jam untuk panggilan telepon dalam sekali pengisian daya penuh. Dengan teknologi pengisian cepat 2C magnetic, hanya butuh 10 menit pengisian daya untuk mendapatkan waktu pemakaian hingga 4 jam. Sementara itu, waktu pengisian penuh hanya membutuhkan satu jam. Mijia Smart Audio Glasses 2 membuktikan Xiaomi terus mengembangkan perangkat wearable mereka dengan memadukan estetika, fungsional, dan teknologi tinggi."
"Saham Apple, Amazon, Nvidia Melonjak Serentak, Magnificent 7 Panen Rp 13.800 Triliun","JAKARTA, KOMPAS.com – Saham teknologi raksasa AS yang tergabung dalam kelompok Magnificent 7 naik tajam pada Senin (12/5/2025). Dilaporkan CNBC, nilai pasar kolektif mereka bertambah 837,5 miliar dollar AS atau sekitar Rp 13.835,83 triliun (kurs Rp 16.520 per dollar AS). Ini menjadi kenaikan terbesar sejak 9 April. Kenaikan terjadi setelah Amerika Serikat dan China sepakat menangguhkan sebagian besar tarif pada barang satu sama lain. Sebelumnya, saham-saham teknologi terpukul akibat ketegangan dagang yang mengganggu rantai pasok global. Investor menyambut positif hasil pembicaraan AS-China selama akhir pekan. Kesepakatan tersebut memberi harapan baru bagi industri semikonduktor dan elektronik. Saham Nvidia naik sekitar 5 persen. AMD dan Qualcomm juga mencatat kenaikan serupa. Saham Broadcom melesat lebih dari 6 persen. Marvell, yang pekan lalu menunda hari investor karena ketidakpastian ekonomi makro, melonjak 8 persen. Saham TSMC, produsen chip terbesar di dunia, naik sekitar 6 persen dalam perdagangan di AS. Saham TSMC yang tercatat di Taiwan tidak sempat bereaksi karena bursa sudah tutup sebelum pengumuman tarif keluar. Di Eropa, saham ASML ikut melonjak 6 persen. ASML dikenal sebagai pemasok mesin utama untuk produksi chip tercanggih. Saham Infineon juga ikut naik. Bulan lalu, Presiden AS Donald Trump memberi pengecualian sementara pada semikonduktor dan barang elektronik dari tarif timbal balik. Namun, AS belum mencabut bea khusus secara permanen. Kondisi ini tetap menjadi kekhawatiran bagi investor, terutama yang memegang saham-saham berisiko tinggi seperti Apple dan Amazon."
"Modus Pencabulan Berkedok Pengobatan di Bekasi, Klaim Bisa Sembuhkan Penyakit Dalam","BEKASI, KOMPAS.com - Polres Metro Bekasi Kota menangkap Murtan (61), tersangka dugaan pelecehan seksual yang berkedok pengobatan alternatif di Pondok Melati, Kota Bekasi. Dalam aksinya, Murtan mengeklaim bisa mengobati penyakit dalam. ""Pelaku mengaku bisa mengobati penyakit dalam korban,"" kata Kapolres Metro Bekasi Kota, Kombes Wahyu Kusumo Bintoro saat dikonfirmasi, Jumat (16/5/2025). Sebelum melancarkan aksinya, tersangka mengajak korban berbincang seputar penyakit dalam yang diderita pasiennya. Setelah itu, Murtan pun memberitahu bahwa ada penyakit atau energi negatif dalam tubuh yang perlu dibersihkan. Korban yang percaya dengan janji-janji tersangka kemudian dibawa ke sebuah tempat di pondok pengobatan alternatif milik Murtan. ""(Tersangka melakukan pelecehan) di dalam saung. Jadi ajak bicara kemudian disampaikan bahwasanya korban ini perlu dibersihkan juga, sehingga pelaku dan korban ini di dalam saung kemudian melakukan perbuatan tersebut,"" ucap Kusumo. Hingga kini polisi baru menerima laporan satu korban dan telah memeriksa sembilan saksi. Pakaian korban turut disita sebagai barang bukti dalam kasus ini. ""Barang bukti celana korban, pakaian yang dikenakan korban,"" imbuh dia. Saat ini polisi masih menyelidiki kasus pelecehan seksual yang dilakukan Murtan. Polisi juga mempersilakan warga melapor apabila merasa menjadi korban tindakan yang dilakukan Murtan. Atas perbuatannya, Murtan dijerat Pasal 6 UU Nomor 12 Tahun 2022 tentang Tindak Pidana Kekerasan Seksual. Tersangka terancam hukuman 12 tahun penjara atau denda Rp 300 juta. Adapun kasus pelecehan seksual Murtan terungkap setelah seorang korban mengadu ke Wali Kota Bekasi Tri Adhianto melalui media sosial pada 3 Mei 2025. Tri pun langsung menemui korban pelecehan tersebut. Tak lama, pemerintah setempat langsung menyegel tempat pengobatan alternatif yang dijalankan Murtan."
Dampak Penggunaan Obat Antibiotik Berulang pada Anak,"KOMPAS.com - Penggunaan obat antibiotik telah umum digunakan untuk berbagai masalah penyakit, mulai dari flu ringan hingga yang mengancam nyawa seperti pneumonia. Bahkan, obat ini sering kali juga dikonsumsi tanpa resep dokter atau tidak sesuai dengan petunjuk dokter. Para peneliti menemukan fakta baru bahwa penggunaan obat antibiotik secara berulang, terutama pada masa kanak-kanak, bisa berdampak negatif di masa depan. Melansir Medical Daily pada Kamis (17/4/2025), sebuah studi baru yang diterbitkan dalam Journal of Infectious Diseases menyelidiki bagaimana penggunaan antibiotik dapat terkait dengan perkembangan kondisi kesehatan kronis pada anak-anak. Mereka menganalisis catatan kesehatan lebih dari satu juta bayi di Inggris, melacak diagnosis berbagai kondisi pediatrik jangka panjang hingga usia 12 tahun. Hasilnya, para peneliti menemukan bahwa paparan antibiotik yang sering pada anak-anak dapat mengganggu keseimbangan mikroba usus yang rapuh. Mereka rentan mengembangkan berbagai kondisi alergi saat beranjak dewasa, seperti asma, alergi makanan, dan rhinitis alergi. Selain itu, ada risiko lain yang ditemukan oleh para peneliti tersebut sebagai dampak penggunaan obat antibiotik berulang pada masa kanak-kanak, yaitu cacat intelektual. Namun, mereka mengatakan bahwa membutuhkan penelitian lebih lanjut untuk mengonfirmasi dampak tersebut. ""Antibiotik memainkan peran penting dalam memerangi infeksi bakteri, tetapi dokter harus berhati-hati saat meresepkan antibiotik kepada anak di bawah usia 2 tahun,” kata Daniel Horton, penulis utama studi tersebut dalam rilis beritanya. “Karena penggunaan (antibiotik) yang sering dapat memengaruhi hasil kesehatan jangka panjang,"" tandasnya. Sementara, hubungan antara penggunaan obat antibiotik dan risiko kesehatan juga ditemukan bergantung pada jenis antibiotiknya. Artinya, semakin banyak jenis antibiotik yang dikonsumsi anak, semakin tinggi risikonya. Penelitian tersebut juga mendapatkan fakta bahwa tidak semua masalah kesehatan anak-anak terkait dengan penggunaan obat antibiotik. Contohnya, para peneliti menemukan bahwa tidak ada hubungan yang signifikan antara obat antibiotik dengan risiko penyakit autoimun di masa depan."
Begini Cara Urus Sertifikat Apartemen,"JAKARTA, KOMPAS.com - Masyarakat yang membeli unit hunian di apartemen harus segera mengurus sertifikat tanah di Kantor Pertanahan (Kantah) setempat. Sertifikat tanah untuk kepemilikan apartemen berupa Sertifikat Hak Milik Satuan Rumah Susun (SHMSRS). Berdasarkan Pasal 1 Undang-Undang (UU) Nomor 20 Tahun 2011 Tentang Rumah Susun, SHMSRS adalah tanda bukti kepemilikan atas satuan rumah susun (sarusun) di atas tanah hak milik, hak guna bangunan atau hak pakai di atas tanah negara, serta hak guna bangunan atau hak pakai di atas tanah hak pengelolaan. Dalam Pasal 47 dijelaskan SHMSRS merupakan satu kesatuan yang tidak terpisahkan terdiri atas: Dikutip dari laman SHMSRS, berikut persyaratan yang perlu dipersiapkan masyarakat saat hendak mengurus: Selain itu menyiapkan keterangan: Pemohon menuju Kantah setempat untuk menyerahkan dokumen permohonan. Petugas akan menerima dan memeriksa dokumen permohonan. Kemudian, pemohon melakukan pembayaran biaya pengukuran di loket pembayaran. Petugas akan menerima pembayaran biaya pengukuran. Lalu, pihak Kantah memulai proses layanan dengan membuat gambar denah. Setelah itu, dilakukan pencatatan dan penerbitan SHMSRS. Selanjutnya, pihak Kantah akan menyerahkan SHMSRS kepada pemohon."
"Pemerintah Klaim Beras Surplus dan Ingin Ekspor, Pengusaha Minta Hitung Ulang","JAKARTA, KOMPAS.com – Pemerintah sedang menyiapkan ekspor beras konsumsi ke Malaysia. Wakil Menteri Pertanian Sudaryono menyebut Presiden Prabowo Subianto telah merestui rencana ini. “Nah ini lagi kita atur (ekspornya), intinya presiden sudah ngasih perintah. Manakala diperlukan, maka kita siap,” kata Sudaryono saat meninjau sentra penggilingan padi Perum Bulog di Pangulah Utara, Kota Baru, Karawang, Jawa Barat, Kamis (15/5/2025). Pemerintah menyiapkan 2.000 ton beras konsumsi untuk dikirim ke Malaysia. Volume itu kemungkinan akan diekspor setiap bulan. “Kemarin sih yang dibahas mungkin sekitar 2.000 ton per bulan ya, karena kan Malaysia juga ngambil (beras) dari banyak tempat,” tutur Sudaryono. Sudaryono menyampaikan telah bertemu pelaku usaha Malaysia yang akan mengimpor beras dari Indonesia. “Kita sudah bicara dengan Malaysia. Kemarin saya sudah ketemu dengan pelakunya, yang rencana akan mengeksekusi ekspor kita ke Malaysia, dan Pak Menteri (Andi Amran Sulaiman) juga sudah ketemu dengan Menteri Pertanian Malaysia,” ujar Sudaryono. Sudaryono belum bisa memastikan jadwal ekspor. Stok beras di Bulog saat ini mencapai 3,7 juta ton. Selama Januari hingga pertengahan Mei 2025, serapan beras sudah 2,1 juta ton. “Di mana serapan tahun 2025, dari Januari sampai dengan hari ini, sudah 2,1 juta ton, yang tertinggi sepanjang sejarah,” kata Sudaryono. Ketua Umum Perkumpulan Penggilingan Padi dan Pengusaha Beras (Perpadi) Sutarto Alimoeso meminta pemerintah menghitung ulang neraca beras sebelum mengekspor. Sutarto menyarankan evaluasi dilakukan setelah panen kedua tahun ini yang diperkirakan terjadi Juli hingga Agustus. “Juli, Agustus. Nah, saya pikir yang perlu diperhatikan betul nanti sampai dengan akhir tahun kita punya stok berapa. Dan itu baru betul-betul bisa kita hitung barangkali nanti setelah bulan Juli,” kata Sutarto di Kantor Badan Pangan Nasional (Bapanas), Jakarta Selatan, Jumat (16/5/2025). “Apakah memang kita betul-betul surplus besar sehingga kita bisa melakukan ekspor,” tutur dia. Menurut Sutarto, rencana ekspor 2.000 ton per bulan tidak besar bagi Indonesia. “Kalau bicara 2.000 ton sih sedikit. Karena kita itu kebutuhannya sekitar 30 juta ton. Kecil. Tapi persoalannya beras mana yang mau diekspor, kan?” ucap Sutarto."
"5 Manfaat Media Monitoring Bisnis, Salah Tahunya Bisa Tahu Reputasi","KOMPAS.com - Sudahkah kamu melakukan media monitoring bisnis? Pasalnya, kegiatan ini memiliki banyak manfaat untuk mengembangkan bisnis. Media monitoring adalah proses pengumpulan, mempelajari, dan menyimpulkan data terkait suatu perusahaan dari berbagai sumber media. Tujuan dari media monitoring adalah untuk mengetahui bagaimana pandangan masyarakat terhadap bisnismu berdasarkan data-data yang tersaji di media. Itulah sebabnya media monitoring perlu dilakukan oleh setiap industri bisnis. Media monitoring bisa dilakukan terhadap media tradisional seperti surat kabar, hingga media digital seperti situs berita online dan media sosial. Kegiatan ini mencakup pendataan, identifikasi mengenai media yang menerbitkan berita (mulai dari nama media, penulis, edisi berita, tanggal tayang), isi berita, sifat berita (pembahasannya positif atau negatif), dan berilah skor untuk berita tersebut. Berikut ini adalah manfaat bisnis yang melakukan kegiatan media monitoring, seperti yang dilansir dari aimtechnologies.co Tujuan dari media monitoring adalah untuk memantau bagaimana reputasi bisnis yang dimuat dalam publikasi-publikasi media. Kamu bisa mengetahui seperti apa citra perusahaan melalui isi dari berita-berita yang tersaji di media. Dengan terus memantau reputasi bisnis, maka lebih memungkinkan bisnismu tetap dalam pandangan positif di mata masyarakat. Jika kamu menemukan isu yang kurang baik terkait bisnismu, kamu bisa dengan segera menyelesaikannya. Selain itu apabila mengalami krisis, dengan media monitoring kamu dapat menilai sejauh mana krisis tersebut dan bagaimana penilaian publik. Dengan begitu kamu akan lebih mudah merumuskan strategi komunikasi yang paling efektif untuk mengatasi krisis. Media monitoring membuat bisnis semakin tahu apa saja pendapat dan masukan dari konsumen melalui ulasan di media. Ini akan menambah wawasan bisnis dalam melakukan riset pasar dan mengetahui apa yang dibutuhkan konsumen, manfaatnya bisnismu semakin bisa berkembang lebih baik. Melalui media monitoring, bisnis juga bisa lebih tanggap terhadap isu-isu di industrinya tersebut. Dengan begitu lebih banyak peluang yang muncul dan bisnis bisa menyesuaikan strategi yang tepat. Melalui media monitoring, kamu juga bisa menjaga bisnis tetap kompetitif. Tentunya semakin banyak publikasi positif di media mengenai bisnismu, semakin bagus pula citra perusahaan yang dibangun. Hal ini bisa meningkatkan rasa kepercayaan masyarakat. Kamu pasti pernah dengar beberapa kasus bahwa konsumen cenderung lebih banyak membeli produk yang viral, yang sudah banyak review-nya, atau yang teratas beritanya kalau dicari di internet. Ini merupakan salah satu contoh pengaruh media terhadap tingkat kompetitif bisnis, oleh karena itu rutinlah melakukan media monitoring. Media monitoring tentunya juga bermanfaat untuk melakukan riset pasar. Dengan mengetahui ulasan konsumen, kritik dan saran, hingga mengetahui apa permintaan dan kebutuhan mereka bisa membantu kamu melakukan riset pasar. Saat melakukan media monitoring di platform media sosial, kamu juga bisa tahu respon pasar terhadap bisnis kamu melalui kolom komentar hingga konten-konten yang diunggah oleh konsumen. Tentunya ini akan menambah data riset pasar bisnis kamu. Saat melakukan media monitoring, tentu kamu juga akan membuat database media apa saja yang sudah melakukan publikasi terkait bisnismu. Database dapat berisi nama media dan penulis, kontak media atau penulis, situs berita, dan segmentasi pembaca media tersebut. Melalui database ini, kamu bisa menyesuaikan media apa saja yang menurutmu relevan dengan bisnis kamu. Misalnya bisnis kamu menjual produk kecantikan, kamu bisa membuat database media yang segmentasinya kebanyakan perempuan. Selanjutnya, kamu bisa coba mengirimkan press release terkait bisnismu dengan tujuan publikasi media. Hal ini juga bisa memperluas relasi kamu dengan media-media."
"Posko Ormas di Matraman Jadi Pos Kamling, Warga Lebih Nyaman","JAKARTA, KOMPAS.com - Pengalihan fungsi sejumlah posko organisasi masyarakat (ormas) menjadi pos keamanan lingkungan (pos kamling) di Matraman, Jakarta Timur, disambut positif oleh warga. Keberadaan pos kamling yang bebas atribut ormas dinilai lebih nyaman untuk lingkungan sekitar. Hal itu diungkapkan oleh Juni Marwan, Ketua RT 003 RW 010 Kelurahan Pisangan Baru, Matraman, saat dimintai tanggapan terkait perubahan fungsi pos salah satu ormas yang berada di Jalan Pisangan Baru Timur. ""Lebih nyaman mungkin ya,"" ujar Juni kepada Kompas.com, Minggu (18/5/2025). Meski demikian, Juni menyebut, sewaktu didiami ormas, posko tersebut tidak terlalu sering digunakan. Adapun posko itu dialihkan sejak Jumat (16/5/2025) usai dilakukan pembersihan atribut oleh aparat kepolisian. Kini, pos tersebut telah dilengkapi spanduk bertuliskan Pos Kamling, tanpa lagi menunjukkan identitas ormas tertentu. “Kaitannya dengan maraknya pemberitaan tentang ormas yang makin menghangat, mungkin dari Polres Jakarta Timur melakukan pembersihan untuk pos-pos yang didirikan oleh ormas,” kata Juni. Meski sudah dialihkan, lanjut Juni, saat ini pos tersebut belum aktif difungsikan sebagai pos jaga. “Memang selama ini enggak ada yang jaga. Jadi kalau keberadaan mereka ya temporer aja. Kalau ada event-event aja mereka berposko di sini,” imbuhnya. Sebelumnya diberitakan, aparat gabungan dari Polsek Matraman bersama jajaran terkait telah mencopot atribut ormas di empat titik di wilayah tersebut dan mengalihfungsikan pos menjadi Pos Kamling. ""Di Matraman secara keseluruhan posko sudah dibersihkan dan dialihfungsikan menjadi Pos Kamling,"" kata Kapolsek Matraman AKP Suripno dalam keterangannya, Jumat (16/5/2025). Empat lokasi yang ditertibkan yakni di Jalan Salemba Utan Barat, Jalan Kayu Manis Barat, Jalan Pisangan Baru Timur, serta Jalan A Yani, Utan Kayu Utara."
Cek Jadwal dan Lokasi SIM Keliling di Jakarta Hari Minggu Ini,"JAKARTA, KOMPAS.com - Polda Metro Jaya membuka layanan perpanjangan Surat Izin Mengemudi (SIM) keliling di wilayah DKI Jakarta pada akhir pekan. Berdasarkan unggahan akun X (Twitter) @TMCPoldaMetro, SIM keliling di Jakarta pada hari Minggu (4/5/2025), hanya beroperasi di dua lokasi. Layanan SIM keliling ini tidak beroperasi panjang ahri, namun dari pukul 07.00 sampai 12.00 WIB. Lokasi SIM keliling pada hari ini hanya di Jakarta Timur dan Jakarta Barat:Jakarta Timur : Jalan Raden Inten Kalimalang samping Mcd Duren SawitJakarta Barat : Jalan Panjang samping Indomaret Kebon Jeruk Informasi Lokasi Pelayanan SIM Keliling Dit Lantas Polda Metro Jaya, Minggu, 04 Mei 2025. pic.twitter.com/lfHn2NL2vY Sementara, dokumen yang perlu dibawa, yaitu fotokopi KTP, SIM lama, dan bukti cek kesehatan, serta bukti tes psikologi. Untuk tarif perpanjangan, sesuai dengan PP Nomor 76 Tahun 2020 tentang Penerimaan Negara Bukan Pajak, untuk SIM A Rp 80.000 dan SIM C 75.000. Tarif tersebut belum termasuk cek kesehatan dan asuransi. Perlu dicatat, keterlambatan perpanjangan SIM, meski hanya sehari, mengharuskan Anda membuat SIM baru dan mengikuti ujian dari awal. Untuk itu, pemilik SIM yang masa berlakunya hampir habis disarankan memanfaatkan layanan SIM keliling ini sebagai alternatif praktis untuk melakukan perpanjangan."
"Mulai 15 Mei 2025 Ada Penyesuaian Tarif Jalan Tol Kunciran-Serpong, Simak Rinciannya","KOMPAS.com – Tarif jalan tol Kunciran-Serpong mengalami penyesuaian harga mulai 15 Mei 2025 pukul 00.00 WIB. PT Marga Trans Nusantara (MTN) anak usaha dari PT Jasa Marga (Persero) mengatakan, penyesuaian tarif tersebut mengacu pada Keputusan Menteri PUPR Nomor 466/KPTS/M/2025. Selain itu, penyesuaian tersebut merupakan amanat regulasi yang mempertimbangkan laju inflasi dan peningkatan Standar Pelayanan Minimal (SPM) jalan tol. Berikut ini rincian tarif jalan tol Kunciran-Serpong setelah penyesuaian mulai 15 Mei 2025: Untuk informasi lalu lintas terkini, pengguna jalan dapat menghubungi Call Center 24 jam Jasa Marga di 14080 atau mengakses aplikasi Travoy yang tersedia di perangkat Android dan iOS."
